2016-10-25 5:12:39 412553950 114.5258 30.679202 114.525792 30.679208 0.0 90.2 
2016-10-25 5:14:40 412553950 114.5258 30.679202 114.5258 30.679202 0.0 90.2 
2016-10-25 5:15:29 412553950 114.525817 30.679207 114.5258 30.679202 0.1 24.9 
2016-10-25 5:18:33 412553950 114.52582 30.679195 114.525817 30.679207 0.1 205.1 
2016-10-25 5:20:33 412553950 114.52582 30.679195 114.52582 30.679195 0.1 205.1 
2016-10-25 5:21:30 412553950 114.525828 30.679198 114.52582 30.679195 0.0 53.0 
2016-10-25 5:24:38 412553950 114.52581 30.679203 114.525828 30.679198 0.0 297.6 
2016-10-25 5:26:12 412553950 114.52581 30.679203 114.52581 30.679203 0.0 297.6 
2016-10-25 5:27:31 412553950 114.525807 30.679173 114.52581 30.679203 0.0 114.6 
2016-10-25 5:30:14 412553950 114.525743 30.67915 114.525807 30.679173 0.0 236.6 
2016-10-25 5:33:33 412553950 114.52582 30.6792 114.525743 30.67915 0.0 73.8 
2016-10-25 5:36:47 412553950 114.525798 30.67922 114.52582 30.6792 0.0 341.7 
2016-10-25 5:38:17 412553950 114.525798 30.67922 114.525798 30.67922 0.0 341.7 
2016-10-25 5:39:43 412553950 114.525785 30.679163 114.525798 30.67922 0.1 175.2 
2016-10-25 5:42:14 412553950 114.525828 30.679228 114.525785 30.679163 0.1 21.4 
2016-10-25 5:45:22 412553950 114.525817 30.679182 114.525828 30.679228 0.1 207.1 
2016-10-25 5:48:35 412553950 114.525805 30.679233 114.525817 30.679182 0.1 27.9 
2016-10-25 5:57:16 412553950 114.52579 30.679232 114.525802 30.679237 0.1 239.5 
2016-10-25 6:00:12 412553950 114.52577 30.679167 114.52579 30.679232 0.0 293.6 
2016-10-25 6:03:37 412553950 114.525835 30.679243 114.52577 30.679167 0.1 49.6 
2016-10-25 6:06:30 412553950 114.525845 30.679307 114.525835 30.679243 0.0 267.1 
2016-10-25 6:08:22 412553950 114.525845 30.679307 114.525845 30.679307 0.0 267.1 
2016-10-25 6:09:19 412553950 114.525847 30.679198 114.525845 30.679307 0.0 199.0 
2016-10-25 6:12:14 412553950 114.525797 30.67924 114.525847 30.679198 0.0 58.0 
2016-10-25 6:15:36 412553950 114.525808 30.679297 114.525797 30.67924 0.0 320.9 
2016-10-25 6:18:25 412553950 114.525842 30.679283 114.525808 30.679297 0.0 173.5 
2016-10-25 6:21:26 412553950 114.525798 30.679278 114.525842 30.679283 0.1 99.1 
2016-10-25 6:32:31 412553950 114.525845 30.679287 114.525845 30.679287 0.0 131.5 
2016-10-25 6:33:33 412553950 114.525792 30.679262 114.525845 30.679287 0.1 20.9 
2016-10-25 6:36:52 412553950 114.5258 30.679283 114.525792 30.679262 0.1 249.3 
2016-10-25 6:38:25 412553950 114.5258 30.679283 114.5258 30.679283 0.1 249.3 
2016-10-25 6:39:49 412553950 114.525832 30.679257 114.5258 30.679283 0.0 103.0 
2016-10-25 6:42:19 412553950 114.525788 30.679242 114.525832 30.679257 0.1 228.1 
2016-10-25 6:45:15 412553950 114.525785 30.679242 114.525788 30.679242 0.0 38.0 
2016-10-25 6:49:00 412553950 114.525795 30.67918 114.525785 30.679242 0.1 200.9 
2016-10-25 6:50:37 412553950 114.525795 30.67918 114.525795 30.67918 0.1 200.9 
2016-10-25 6:54:33 412553950 114.525828 30.679208 114.525795 30.67918 0.0 213.4 
2016-10-25 6:57:20 412553950 114.525808 30.679272 114.525828 30.679208 0.1 72.2 
2016-10-25 7:00:56 412553950 114.52576 30.679308 114.525808 30.679272 0.2 327.5 
2016-10-25 7:02:38 412553950 114.52576 30.679308 114.52576 30.679308 0.2 327.5 
2016-10-25 7:03:18 412553950 114.525805 30.679298 114.52576 30.679308 0.2 150.9 
2016-10-25 7:14:34 412553950 114.525793 30.679283 114.525793 30.679283 0.0 0.9 
2016-10-25 7:15:28 412553950 114.525805 30.679267 114.525793 30.679283 0.1 178.9 
2016-10-25 7:18:48 412553950 114.52576 30.679217 114.525805 30.679267 0.0 205.2 
2016-10-25 7:20:49 412553950 114.52576 30.679217 114.52576 30.679217 0.0 205.2 
2016-10-25 7:21:34 412553950 114.525817 30.679242 114.52576 30.679217 0.0 36.1 
2016-10-25 7:24:32 412553950 114.525788 30.679237 114.525817 30.679242 0.0 233.2 
2016-10-25 7:27:36 412553950 114.525768 30.679212 114.525788 30.679237 0.0 113.1 
2016-10-25 7:30:48 412553950 114.525818 30.679322 114.525768 30.679212 0.0 33.5 
2016-10-25 7:33:20 412553950 114.525802 30.679287 114.525818 30.679322 0.0 352.9 
2016-10-25 7:36:31 412553950 114.52581 30.679248 114.525802 30.679287 0.0 228.4 
2016-10-25 7:38:26 412553950 114.52581 30.679248 114.52581 30.679248 0.0 228.4 
2016-10-25 7:48:13 412553950 114.52581 30.67927 114.525842 30.679282 0.0 199.5 
2016-10-25 7:51:50 412553950 114.525793 30.679267 114.52581 30.67927 0.0 329.9 
2016-10-25 7:54:36 412553950 114.525822 30.67929 114.525793 30.679267 0.0  
2016-10-25 7:56:20 412553950 114.525822 30.67929 114.525822 30.67929 0.0  
2016-10-25 8:00:46 412553950 114.525778 30.679242 114.525822 30.67929 0.0 40.3 
2016-10-25 8:03:29 412553950 114.525692 30.679182 114.525778 30.679242 0.1 248.3 
2016-10-25 8:06:22 412553950 114.525702 30.679208 114.525692 30.679182 0.1 119.3 
2016-10-25 8:09:13 412553950 114.525823 30.679313 114.525702 30.679208 0.0 12.1 
2016-10-25 8:12:35 412553950 114.525783 30.679333 114.525823 30.679313 0.1 225.8 
2016-10-25 8:14:47 412553950 114.525783 30.679333 114.525783 30.679333 0.1 225.8 
2016-10-25 8:18:25 412553950 114.525818 30.679327 114.525783 30.679333 0.0 61.6 
2016-10-25 8:20:44 412553950 114.525818 30.679327 114.525818 30.679327 0.0 61.6 
2016-10-25 8:24:56 412553950 114.525763 30.679348 114.525818 30.679327 0.1 326.3 
2016-10-25 8:26:22 412553950 114.525763 30.679348 114.525763 30.679348 0.1 326.3 
2016-10-25 8:27:47 412553950 114.525842 30.679332 114.525763 30.679348 0.0 154.7 
2016-10-25 8:30:31 412553950 114.525785 30.67928 114.525842 30.679332 0.0 145.4 
2016-10-25 8:33:28 412553950 114.525818 30.679297 114.525785 30.67928 0.1 76.9 
2016-10-25 8:39:01 412553950 114.525818 30.679297 114.525818 30.679297 0.1 76.9 
2016-10-25 8:39:37 412553950 114.525853 30.679317 114.525818 30.679297 0.0 158.0 
2016-10-25 8:42:14 412553950 114.525765 30.679267 114.525853 30.679317 0.1 243.2 
2016-10-25 8:44:19 412553950 114.525765 30.679267 114.525765 30.679267 0.1 243.2 
2016-10-25 8:45:34 412553950 114.52577 30.67922 114.525765 30.679267 0.1 108.9 
2016-10-25 8:48:21 412553950 114.525817 30.679253 114.52577 30.67922 0.0 318.6 
2016-10-25 8:50:36 412553950 114.525817 30.679253 114.525817 30.679253 0.0 318.6 
2016-10-25 8:51:39 412553950 114.525822 30.679238 114.525817 30.679253 0.0 109.7 
2016-10-25 9:07:03 412553950 114.525783 30.679197 114.525833 30.679223 0.0 214.1 
2016-10-25 9:08:18 412553950 114.525783 30.679197 114.525783 30.679197 0.0 214.1 
2016-10-25 9:09:38 412553950 114.525827 30.679227 114.525783 30.679197 0.1 245.1 
2016-10-25 9:12:25 412553950 114.525737 30.679197 114.525827 30.679227 0.1 203.1 
2016-10-25 9:26:34 412553950 114.525738 30.679205 114.525738 30.679205 0.0  
2016-10-25 9:27:12 412553950 114.525737 30.679167 114.525738 30.679205 0.1 58.1 
2016-10-25 9:36:20 412553950 114.525833 30.679208 114.525745 30.679193 0.1 96.7 
2016-10-25 9:38:36 412553950 114.525833 30.679208 114.525833 30.679208 0.1 96.7 
2016-10-25 9:40:01 412553950 114.525752 30.679315 114.525833 30.679208 0.0 11.2 
2016-10-25 9:42:38 412553950 114.525802 30.679207 114.525752 30.679315 0.2 237.2 
2016-10-25 9:44:35 412553950 114.525802 30.679207 114.525802 30.679207 0.2 237.2 
2016-10-25 9:45:34 412553950 114.525695 30.679205 114.525802 30.679207 0.0 341.8 
2016-10-25 9:48:41 412553950 114.52579 30.679228 114.525695 30.679205 0.1 23.2 
2016-10-25 9:51:32 412553950 114.525803 30.679338 114.52579 30.679228 0.1 278.2 
