2016-10-17 8:56:28 413858056 114.5274 30.677417 114.527417 30.677417 0.0 129.1 129.0
2016-10-17 8:57:08 413858056 114.5274 30.677417 114.5274 30.677417 0.0 118.8 118.0
2016-10-17 8:58:03 413858056 114.5274 30.677417 114.5274 30.677417 0.0 135.0 135.0
2016-10-17 8:58:48 413858056 114.5274 30.677417 114.5274 30.677417 0.0 121.7 121.0
2016-10-17 8:59:40 413858056 114.5274 30.677417 114.5274 30.677417 0.0 122.5 122.0
2016-10-17 9:00:36 413858056 114.5274 30.677417 114.5274 30.677417 0.0 114.0 114.0
2016-10-17 9:13:42 413858056 114.527417 30.677417 114.5274 30.677417 0.0 123.4 123.0
2016-10-17 9:14:17 413858056 114.527417 30.677417 114.527417 30.677417 0.0 127.9 127.0
2016-10-17 9:15:47 413858056 114.527417 30.677417 114.527417 30.677417 0.0 126.9 126.0
2016-10-17 9:16:35 413858056 114.527417 30.677417 114.527417 30.677417 0.0 118.4 118.0
2016-10-17 9:17:18 413858056 114.527417 30.677417 114.527417 30.677417 0.0 122.8 122.0
2016-10-17 9:18:27 413858056 114.527417 30.677417 114.527417 30.677417 0.0 124.6 124.0
2016-10-17 9:18:54 413858056 114.527417 30.677417 114.527417 30.677417 0.0 126.7 126.0
2016-10-17 9:20:16 413858056 114.527417 30.677417 114.527417 30.677417 0.0 129.4 129.0
2016-10-17 9:20:39 413858056 114.527417 30.677417 114.527417 30.677417 0.0 129.6 129.0
2016-10-17 9:22:19 413858056 114.527417 30.677417 114.527417 30.677417 0.0 121.7 121.0
2016-10-17 9:23:05 413858056 114.527417 30.677417 114.527417 30.677417 0.0 130.0 130.0
2016-10-17 9:24:24 413858056 114.527417 30.677417 114.527417 30.677417 0.0 122.8 122.0
2016-10-17 9:25:20 413858056 114.527417 30.677417 114.527417 30.677417 0.0 118.4 118.0
2016-10-17 9:26:05 413858056 114.527417 30.677433 114.527417 30.677417 0.0 108.5 108.0
2016-10-17 9:26:58 413858056 114.527417 30.677433 114.527417 30.677433 0.0 114.6 114.0
2016-10-17 9:27:49 413858056 114.5274 30.677433 114.527417 30.677433 0.0 105.5 105.0
2016-10-17 9:29:08 413858056 114.5274 30.677433 114.5274 30.677433 0.0 133.6 133.0
2016-10-17 9:29:34 413858056 114.5274 30.677433 114.5274 30.677433 0.0 106.2 106.0
2016-10-17 9:29:58 413858056 114.5274 30.677433 114.5274 30.677433 0.0 106.3 106.0
2016-10-17 9:31:14 413858056 114.5274 30.677417 114.5274 30.677433 0.0 130.5 130.0
2016-10-17 9:32:10 413858056 114.5274 30.677417 114.5274 30.677417 0.0 139.1 139.0
2016-10-17 9:33:28 413858056 114.527417 30.677417 114.5274 30.677417 0.0 121.6 121.0
2016-10-17 9:34:01 413858056 114.527417 30.677417 114.527417 30.677417 0.0 130.8 130.0
2016-10-17 9:34:45 413858056 114.527417 30.677417 114.527417 30.677417 0.0 151.3 151.0
2016-10-17 9:35:40 413858056 114.527417 30.677417 114.527417 30.677417 0.0 144.1 144.0
2016-10-17 9:36:27 413858056 114.527417 30.6774 114.527417 30.677417 0.0 134.9 134.0
2016-10-17 9:37:42 413858056 114.5274 30.677417 114.527417 30.6774 0.0 151.0 151.0
2016-10-17 9:38:31 413858056 114.5274 30.677417 114.5274 30.677417 0.0 156.3 156.0
2016-10-17 9:39:50 413858056 114.5274 30.677417 114.5274 30.677417 0.0 148.0 148.0
2016-10-17 9:40:45 413858056 114.5274 30.677433 114.5274 30.677417 0.0 179.7 179.0
2016-10-17 9:41:57 413858056 114.5274 30.67745 114.5274 30.677433 0.0 166.1 166.0
2016-10-17 9:42:52 413858056 114.527383 30.67745 114.5274 30.67745 0.0 175.7 175.0
2016-10-17 9:44:31 413858056 114.5274 30.677433 114.527383 30.67745 0.0 157.5 157.0
2016-10-17 9:45:18 413858056 114.5274 30.677417 114.5274 30.677433 0.0 145.6 145.0
2016-10-17 9:46:59 413858056 114.527417 30.677417 114.5274 30.677417 0.0 164.0 164.0
2016-10-17 9:47:55 413858056 114.5274 30.677433 114.527417 30.677417 0.0 150.2 150.0
2016-10-17 9:48:40 413858056 114.5274 30.677433 114.5274 30.677433 0.0 165.4 165.0
2016-10-17 9:49:11 413858056 114.5274 30.677433 114.5274 30.677433 0.0 167.8 167.0
2016-10-17 9:49:56 413858056 114.5274 30.677433 114.5274 30.677433 0.0 150.9 150.0
2016-10-17 9:51:08 413858056 114.5274 30.677417 114.5274 30.677433 0.0 158.5 158.0
2016-10-17 9:51:30 413858056 114.5274 30.677417 114.5274 30.677417 0.0 155.4 155.0
2016-10-17 9:52:24 413858056 114.5274 30.677417 114.5274 30.677417 0.0 172.3 172.0
2016-10-17 9:53:13 413858056 114.5274 30.677417 114.5274 30.677417 0.0 142.6 142.0
2016-10-17 9:54:07 413858056 114.5274 30.677417 114.5274 30.677417 0.0 163.9 163.0
2016-10-17 9:55:21 413858056 114.5274 30.677417 114.5274 30.677417 0.0 163.8 163.0
2016-10-17 9:56:09 413858056 114.5274 30.677417 114.5274 30.677417 0.0 155.9 155.0
2016-10-17 9:57:46 413858056 114.527417 30.677417 114.5274 30.677417 0.0 159.6 159.0
2016-10-17 9:58:10 413858056 114.527417 30.677417 114.527417 30.677417 0.0 154.9 154.0
2016-10-17 9:59:53 413858056 114.527417 30.677433 114.527417 30.677417 0.0 154.3 154.0
2016-10-17 10:00:56 413858056 114.5274 30.677433 114.527417 30.677433 0.0 151.0 151.0
2016-10-17 10:02:04 413858056 114.5274 30.677433 114.5274 30.677433 0.0 156.6 156.0
2016-10-17 10:02:56 413858056 114.5274 30.677433 114.5274 30.677433 0.0 151.8 151.0
2016-10-17 10:04:38 413858056 114.527383 30.677433 114.5274 30.677433 0.0 143.9 143.0
2016-10-17 10:06:15 413858056 114.527383 30.677433 114.527383 30.677433 0.0 141.9 141.0
2016-10-17 10:07:33 413858056 114.527383 30.677433 114.527383 30.677433 0.0 113.7 113.0
2016-10-17 10:07:59 413858056 114.527383 30.677433 114.527383 30.677433 0.0 153.7 153.0
2016-10-17 10:08:42 413858056 114.527383 30.677433 114.527383 30.677433 0.0 146.7 146.0
2016-10-17 10:09:56 413858056 114.5274 30.677433 114.527383 30.677433 0.0 137.5 137.0
2016-10-17 10:10:42 413858056 114.5274 30.677433 114.5274 30.677433 0.0 139.7 139.0
2016-10-17 12:10:44 413858056 114.527417 30.677467 114.527417 30.677467 0.0 125.5 125.0
2016-10-17 12:12:31 413858056 114.5274 30.677467 114.527417 30.677467 0.0 351.8 351.0
2016-10-17 12:13:30 413858056 114.527383 30.677467 114.5274 30.677467 0.0 96.8 96.0
2016-10-17 12:14:28 413858056 114.527183 30.677567 114.527383 30.677467 1.5 303.0 303.0
2016-10-17 12:15:53 413858056 114.5263 30.678383 114.527183 30.677567 2.1 328.8 328.0
2016-10-17 12:17:21 413858056 114.526117 30.67935 114.5263 30.678383 2.1 8.5 8.0
2016-10-17 12:18:15 413858056 114.526417 30.68 114.526117 30.67935 4.7 29.0 29.0
2016-10-17 12:19:43 413858056 114.53075 30.680283 114.526417 30.68 9.7 119.4 119.0
2016-10-17 12:23:21 413858056 114.5388 30.67335 114.53075 30.680283 9.7 143.1 143.0
2016-10-17 12:27:21 413858056 114.543117 30.667683 114.5388 30.67335 3.1 149.5 149.0
2016-10-17 12:29:11 413858056 114.54395 30.666683 114.543117 30.667683 2.1 138.0 138.0
2016-10-17 12:29:37 413858056 114.544067 30.66655 114.54395 30.666683 1.5 146.8 146.0
2016-10-17 12:31:03 413858056 114.5445 30.666167 114.544067 30.66655 1.7 95.4 95.0
2016-10-17 12:32:00 413858056 114.544967 30.666233 114.5445 30.666167 1.6 88.1 88.0
2016-10-17 12:32:49 413858056 114.545383 30.666133 114.544967 30.666233 0.9 85.9 85.0
2016-10-17 12:33:12 413858056 114.5455 30.666183 114.545383 30.666133 1.0 53.8 53.0
2016-10-17 12:33:42 413858056 114.5456 30.666233 114.5455 30.666183 0.6 68.6 68.0
2016-10-17 12:35:24 413858056 114.545817 30.666233 114.5456 30.666233 0.3 62.6 62.0
2016-10-17 12:35:52 413858056 114.5458 30.66625 114.545817 30.666233 0.0 196.0 196.0
2016-10-17 12:36:17 413858056 114.5458 30.66625 114.5458 30.66625 0.0 53.3 53.0
2016-10-17 12:37:42 413858056 114.5458 30.666267 114.5458 30.66625 0.0 139.3 139.0
2016-10-17 12:38:29 413858056 114.5458 30.666233 114.5458 30.666267 0.1 143.0 143.0
2016-10-17 12:40:12 413858056 114.545783 30.666233 114.5458 30.666233 0.0 177.7 177.0
2016-10-17 12:41:11 413858056 114.545783 30.666217 114.545783 30.666233 0.0 185.2 185.0
2016-10-17 12:42:40 413858056 114.545783 30.666217 114.545783 30.666217 0.0 164.8 164.0
2016-10-17 12:45:19 413858056 114.5458 30.666233 114.545783 30.666217 0.0 182.3 182.0
2016-10-17 12:47:40 413858056 114.5458 30.666217 114.5458 30.666233 0.0 250.9 250.0
2016-10-17 12:48:39 413858056 114.5458 30.666233 114.5458 30.666217 0.0 286.3 286.0
2016-10-17 12:49:05 413858056 114.5458 30.666233 114.5458 30.666233 0.0 195.6 195.0
2016-10-17 12:50:06 413858056 114.5458 30.666233 114.5458 30.666233 0.0 152.5 152.0
2016-10-17 12:53:08 413858056 114.5458 30.666233 114.5458 30.666233 0.0 164.5 164.0
2016-10-17 12:54:08 413858056 114.5458 30.666233 114.5458 30.666233 0.0 161.0 161.0
2016-10-17 12:54:55 413858056 114.5458 30.666233 114.5458 30.666233 0.0 167.3 167.0
2016-10-17 12:57:46 413858056 114.5458 30.666233 114.5458 30.666233 0.0 248.0 248.0
2016-10-17 12:58:37 413858056 114.5458 30.666233 114.5458 30.666233 0.0 199.4 199.0
2016-10-17 12:59:59 413858056 114.545817 30.666233 114.5458 30.666233 0.0 177.8 177.0
2016-10-17 13:00:26 413858056 114.545817 30.666233 114.545817 30.666233 0.0 251.2 251.0
2016-10-17 13:02:46 413858056 114.5458 30.666233 114.545817 30.666233 0.0 178.5 178.0
2016-10-17 13:06:58 413858056 114.5458 30.666233 114.5458 30.666233 0.0 262.7 262.0
2016-10-17 13:07:23 413858056 114.5458 30.666233 114.5458 30.666233 0.0 284.3 284.0
2016-10-17 13:10:39 413858056 114.545767 30.6663 114.5458 30.666233 0.0 268.9 268.0
2016-10-17 13:13:29 413858056 114.545767 30.666283 114.545767 30.6663 0.0 265.1 265.0
2016-10-17 13:15:12 413858056 114.545767 30.666267 114.545767 30.666283 0.0 202.8 202.0
2016-10-17 13:16:22 413858056 114.545783 30.666267 114.545767 30.666267 0.0 337.1 337.0
