2016-10-21 21:47:15 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:47:39 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:48:00 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:48:34 413829178 114.400083 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:48:55 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 
2016-10-21 21:49:13 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 
2016-10-21 21:49:32 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 
2016-10-21 21:49:49 413829178 114.400067 30.654567 114.400083 30.654567 0.0 267.2 
2016-10-21 21:50:07 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:50:23 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:50:39 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:50:54 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:51:11 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:51:24 413829178 114.400067 30.654583 114.400067 30.654567 0.0 267.2 
2016-10-21 21:52:15 413829178 114.400067 30.654583 114.400067 30.654583 0.0 267.2 
2016-10-21 21:52:32 413829178 114.400067 30.654583 114.400067 30.654583 0.0 267.2 
2016-10-21 21:52:49 413829178 114.400067 30.654583 114.400067 30.654583 0.0 267.2 
2016-10-21 21:53:08 413829178 114.400067 30.654583 114.400067 30.654583 0.0 267.2 
2016-10-21 21:53:32 413829178 114.400067 30.654583 114.400067 30.654583 0.0 267.2 
2016-10-21 21:53:53 413829178 114.400067 30.654583 114.400067 30.654583 0.0 267.2 
2016-10-21 21:54:24 413829178 114.400067 30.654583 114.400067 30.654583 0.0 267.2 
2016-10-21 21:55:19 413829178 114.400067 30.654583 114.400067 30.654583 0.0 267.2 
2016-10-21 21:55:35 413829178 114.400067 30.654567 114.400067 30.654583 0.0 267.2 
2016-10-21 21:55:56 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:56:11 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:56:29 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:56:43 413829178 114.40005 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:57:04 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
